Date,TradingPeriod,Island,PointOfConnection,Trader,Type,ClearedEnergy (MW),ClearedFIR (MW),ClearedSIR (MW)
2019-06-25,48,NI,GLN0332 GLN0,ALNT,ENOF,58.000,.000,.000
2019-06-25,48,SI,CYD2201 CYD0,CTCT,ENOF,200.000,.000,.000
2019-06-25,48,NI,OKI2201 OKI0,CTCT,ENOF,27.000,.000,.000
2019-06-25,48,NI,PPI2201 PPI0,CTCT,ENOF,41.000,.000,.000
2019-06-25,48,SI,ROX1101 ROX0,CTCT,ENOF,40.010,.000,.000
2019-06-25,48,SI,ROX2201 ROX0,CTCT,ENOF,115.000,.000,.000
2019-06-25,48,NI,SFD2201 SFD22,CTCT,ENOF,105.000,.000,.000
2019-06-25,48,NI,SFD2201 SPL0,CTCT,ENOF,300.000,.000,.000
2019-06-25,48,NI,THI2201 THI1,CTCT,ENOF,82.000,.000,.000
2019-06-25,48,NI,THI2201 THI2,CTCT,ENOF,84.000,.000,.000
2019-06-25,48,NI,WRK0331 TAA0,CTCT,ENOF,26.000,.000,.000
2019-06-25,48,NI,WRK2201 WRK0,CTCT,ENOF,117.000,.000,.000
2019-06-25,48,SI,CYD2201 CYD0,CTCT,PLRO,.000,23.000,28.000
2019-06-25,48,SI,ROX1101 ROX0,CTCT,PLRO,.000,2.000,2.000
2019-06-25,48,SI,ROX2201 ROX0,CTCT,PLRO,.000,4.600,4.600
2019-06-25,48,NI,SFD2201 SPL0,CTCT,PLRO,.000,7.700,8.000
2019-06-25,48,NI,WGN0331,ERGY,ILRO,.000,50.000,77.173
2019-06-25,48,NI,HLY2201 HLY5,GENE,ENOF,340.000,.000,.000
2019-06-25,48,NI,RPO2201 RPO0,GENE,ENOF,65.000,.000,.000
2019-06-25,48,SI,TKA0111 TKA1,GENE,ENOF,26.000,.000,.000
2019-06-25,48,SI,TKB2201 TKB1,GENE,ENOF,149.000,.000,.000
2019-06-25,48,NI,TUI1101 KTW0,GENE,ENOF,31.000,.000,.000
2019-06-25,48,NI,TUI1101 PRI0,GENE,ENOF,40.000,.000,.000
2019-06-25,48,NI,TUI1101 TUI0,GENE,ENOF,54.000,.000,.000
2019-06-25,48,NI,RPO2201 RPO0,GENE,PLRO,.000,.002,.002
2019-06-25,48,SI,TKB2201 TKB1,GENE,PLRO,.000,.003,.003
2019-06-25,48,NI,TUI1101 KTW0,GENE,PLRO,.000,2.001,3.000
2019-06-25,48,NI,TUI1101 PRI0,GENE,PLRO,.000,.002,.002
2019-06-25,48,NI,TUI1101 TUI0,GENE,PLRO,.000,.002,5.701
2019-06-25,48,NI,MHO0331 MHO0,KING,ENOF,20.000,.000,.000
2019-06-25,48,SI,AVI2201 AVI0,MERI,ENOF,59.532,.000,.000
2019-06-25,48,SI,BEN2202 BEN0,MERI,ENOF,452.000,.000,.000
2019-06-25,48,SI,MAN2201 MAN0,MERI,ENOF,738.000,.000,.000
2019-06-25,48,SI,OHA2201 OHA0,MERI,ENOF,64.495,.000,.000
2019-06-25,48,SI,OHB2201 OHB0,MERI,ENOF,69.930,.000,.000
2019-06-25,48,SI,OHC2201 OHC0,MERI,ENOF,69.930,.000,.000
2019-06-25,48,SI,WTK0111 WTK0,MERI,ENOF,50.000,.000,.000
2019-06-25,48,SI,AVI2201 AVI0,MERI,PLRO,.000,6.556,9.179
2019-06-25,48,SI,BEN2202 BEN0,MERI,PLRO,.000,.001,.001
2019-06-25,48,SI,OHA2201 OHA0,MERI,PLRO,.000,5.822,8.149
2019-06-25,48,SI,OHB2201 OHB0,MERI,PLRO,.000,6.311,8.836
2019-06-25,48,SI,OHC2201 OHC0,MERI,PLRO,.000,6.311,8.836
2019-06-25,48,SI,WTK0111 WTK0,MERI,PLRO,.000,5.000,5.000
2019-06-25,48,SI,AVI2201 AVI0,MERI,TWRO,.000,14.424,10.490
2019-06-25,48,SI,BEN2202 BEN0,MERI,TWRO,.000,.002,.002
2019-06-25,48,SI,OHA2201 OHA0,MERI,TWRO,.000,6.984,9.314
2019-06-25,48,SI,OHB2201 OHB0,MERI,TWRO,.000,13.885,10.098
2019-06-25,48,SI,OHC2201 OHC0,MERI,TWRO,.000,13.026,10.098
2019-06-25,48,NI,ARA2201 ARA0,MRPL,ENOF,52.000,.000,.000
2019-06-25,48,NI,ARI1101 ARI0,MRPL,ENOF,42.000,.000,.000
2019-06-25,48,NI,ARI1102 ARI0,MRPL,ENOF,42.000,.000,.000
2019-06-25,48,NI,ATI2201 ATI0,MRPL,ENOF,37.000,.000,.000
2019-06-25,48,NI,KAW1101 KAG0,MRPL,ENOF,108.000,.000,.000
2019-06-25,48,NI,KPO1101 KPO0,MRPL,ENOF,46.000,.000,.000
2019-06-25,48,NI,MTI2201 MTI0,MRPL,ENOF,56.000,.000,.000
2019-06-25,48,NI,NAP2202 NTM0,MRPL,ENOF,86.000,.000,.000
2019-06-25,48,NI,OHK2201 OHK0,MRPL,ENOF,39.643,.000,.000
2019-06-25,48,NI,WKM2201 WKM0,MRPL,ENOF,46.000,.000,.000
2019-06-25,48,NI,WPA2201 WPA0,MRPL,ENOF,22.000,.000,.000
2019-06-25,48,NI,WRK0331 RKA0,MRPL,ENOF,35.000,.000,.000
2019-06-25,48,NI,SWN2201,MRPL,ILRO,.000,.946,.946
2019-06-25,48,NI,ARI1101 ARI0,MRPL,PLRO,.000,1.000,.000
2019-06-25,48,NI,KPO1101 KPO0,MRPL,PLRO,.000,5.000,7.000
2019-06-25,48,NI,MTI2201 MTI0,MRPL,PLRO,.000,20.000,28.000
2019-06-25,48,NI,WPA2201 WPA0,MRPL,PLRO,.000,4.000,5.000
